Labels,Count
completed + data request,2024
data request + failed,356
data request + invalid,180
data request + submitted,28
aborted + data request,21
completed + data request + failed,8
enhancement + jenkins-migration,8
data request + discussion + failed,4
aborted + completed + data request + testsuite,3
completed + data request + discussion,3
aborted + completed + data request + failed,2
bug + external bug,2
aborted + completed + data request + failed + testsuite,2
aborted + completed + data request,2
data request + failed + submitted,1
completed + data request + discussion + failed,1
aborted + data request + discussion,1
enhancement + frontend + v2.1,1
bug + frontend + v2.1,1
enhancement + frontend + v2.0,1
enhancement + frontend,1
completed + data request + failed + testsuite,1
backend + bug + v2.1,1
enhancement + v2.2,1
data request + failed + invalid,1
documentation + jenkins-migration,1
